Name,IPV6_Client_Support,IPV6_Server_Support,Dated_added,Date_IPV6_Support_Added
Minecraft,Yes,Yes,2020-04-10,Unknown
Counter-Strike Global Offensive,No,No,2020-04-10,Unknown
Garrys Mod,Unknown,Unknown,2020-04-10,Unknown
Team Fortress 2,Unknown,Unknown,2020-04-10,Unknown
Insurgency,Unknown,Unknown,2020-04-10,Unknown
Ark: Survival Evolved,Unknown,Unknown,2020-04-10,Unknown
Terraria,Unknown,Unknown,2020-04-10,Unknown
Starmade,Unknown,Unknown,2020-04-10,Unknown
Satisfactory,Unknown,Unknown,2020-04-10,Unknown
Unturned,Unknown,Unknown,2020-04-10,Unknown
Rust,Unknown,Unknown,2020-04-10,Unknown
7 Days To Die,Unknown,Unknown,2020-04-10,Unknown
Ace Of Spades,Unknown,Unknown,2020-04-10,Unknown
American Truck Simulator,Unknown,Unknown,2020-04-10,Unknown
APB Reloaded,Unknown,Unknown,2020-04-10,Unknown
Black Desert Online,Unknown,Unknown,2020-04-10,Unknown
Borderlands 2,Unknown,Unknown,2020-04-10,Unknown
Conan Exiles,Unknown,Unknown,2020-04-10,Unknown
Counter Strike,Unknown,Unknown,2020-04-10,Unknown
Counter-Strike Nexon: Studio,Unknown,Unknown,2020-04-10,Unknown
Counter-Strike: Source,Unknown,Unknown,2020-04-10,Unknown
Destiny 2,Unknown,Unknown,2020-04-10,Unknown
