Name,Gives_Customers_IPV6,IPV4_CGNAT,Country,Date
Alltele,N/A,N/A,Sweden,2020-04-12
Bahnhof,N/A,N/A,Sweden,2020-04-12
Telia,N/A,N/A,Sweden,2020-04-12
Telenor,N/A,N/A,Sweden,2020-04-12
IP-only,N/A,N/A,Sweden,2020-04-12
Ownit,N/A,N/A,Sweden,2020-04-12
Comhem,N/A,N/A,Sweden,2020-04-12
AT&T,N/A,N/A,USA,2020-04-12
A3,N/A,N/A,Sweden,2020-04-12
Tele2,N/A,N/A,Sweden,2020-04-12
Bredband2,N/A,N/A,Sweden,2020-04-12
AT&T Internet Services,N/A,N/A,USA,2020-04-12
Cable One,N/A,N/A,USA,2020-04-12
CenturyLink,N/A,N/A,USA,2020-04-12
Charter Communications,N/A,N/A,USA,2020-04-12 
Comcast High Speed Internet,N/A,N/A,USA,2020-04-12 
Consolidated Communications,N/A,N/A,USA,2020-04-12 
Cox Communications,N/A,N/A,USA,2020-04-12
Frontier Communications,N/A,N/A,USA,2020-04-12
Mediacom,N/A,N/A,USA,2020-04-12
TDS Telecom,N/A,N/A,USA,2020-04-12
Windstream,N/A,N/A,USA,2020-04-12
Verizon High Speed Internet,N/A,N/A,USA,2020-04-12
Evan,N/A,N/A,USA,2020-04-12
Stealth Communications,N/A,N/A,USA,2020-04-12
Armstrong Zoom,N/A,N/A,USA,2020-04-12
Atlantic Broadband,N/A,N/A,USA,2020-04-12
Atlas Networks,N/A,N/A,USA,2020-04-12
B2X Online - VA,N/A,N/A,USA,2020-04-12
Bernard Telephone Co,N/A,N/A,USA,2020-04-12
Cincinnati Bell,N/A,N/A,USA,2020-04-12
Comelec,N/A,N/A,USA,2020-04-12
ComTecCloud,N/A,N/A,USA,2020-04-12
CS Technologies,Inc.,N/A,N/A,USA,2020-04-12
Exede Internet,N/A,N/A,USA,2020-04-12
Google Fiber,N/A,N/A,USA,2020-04-12
Greenlight Networks,N/A,N/A,USA,2020-04-12
Honest Networks,N/A,N/A,USA,2020-04-12
Hotwire Communications,N/A,N/A,USA,2020-04-12
HughesNet,N/A,N/A,USA,2020-04-12
Interlync Internet Services,N/A,N/A,USA,2020-04-12
ImOn Communications,N/A,N/A,USA,2020-04-12
Midcontinent Communications,N/A,N/A,USA,2020-04-12
MV Link,N/A,N/A,USA,2020-04-12
RCN Corporation,N/A,N/A,USA,2020-04-12
Rise Broadband,N/A,N/A,USA,2020-04-12
Shentel,N/A,N/A,USA,2020-04-12
Sonic.net,N/A,N/A,USA,2020-04-12
WirelessBuy,N/A,N/A,USA,2020-04-12
South Slope,N/A,N/A,USA,2020-04-12
Sprint,N/A,N/A,USA,2020-04-12
Ting Internet,N/A,N/A,USA,2020-04-12
USA Communications,N/A,N/A,USA,2020-04-12
PenTeleData,N/A,N/A,USA,2020-04-12
WideOpenWest,N/A,N/A,USA,2020-04-12
Atlas Networks,N/A,N/A,USA,2020-04-12
B2X Online - VA,N/A,N/A,USA,2020-04-12
Broadview,N/A,N/A,USA,2020-04-12
CenturyLink,N/A,N/A,USA,2020-04-12
Cogent Communications,N/A,N/A,USA,2020-04-12
Digital West,N/A,N/A,USA,2020-04-12
Google Fiber,N/A,N/A,USA,2020-04-12
Hotwire Communications,N/A,N/A,USA,2020-04-12
Hurricane Electric,N/A,N/A,USA,2020-04-12
Interlync Internet Services,N/A,N/A,USA,2020-04-12
IT7 Networks,N/A,N/A,USA,2020-04-12
MegaPath,N/A,N/A,USA,2020-04-12
Skyriver,N/A,N/A,USA,2020-04-12
Ting Internet,N/A,N/A,USA,2020-04-12
Towerstream,N/A,N/A,USA,2020-04-12
Stealth Communications,N/A,N/A,USA,2020-04-12
Windstream,N/A,N/A,USA,2020-04-12
